epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3989.85,0.96902,0.78661,1.07521,0.72607,0.63953,0.71172,0.50169,1.0822,0.95962,1.13796,0.000371313,0.000371313,0.000371313
43,4087.67,0.96446,0.77436,1.07074,0.70898,0.63781,0.70035,0.49479,1.08106,0.95972,1.14197,0.000365125,0.000365125,0.000365125
44,4185.3,0.96091,0.76245,1.07446,0.7075,0.66175,0.71267,0.49983,1.09112,0.95775,1.14852,0.000358938,0.000358938,0.000358938
45,4283.1,0.96105,0.76605,1.07098,0.71376,0.68788,0.71924,0.51322,1.07237,0.94621,1.13134,0.00035275,0.00035275,0.00035275
46,4379.13,0.95917,0.7539,1.06551,0.76213,0.64381,0.72024,0.52221,1.07299,0.95405,1.12672,0.000346563,0.000346563,0.000346563
47,4479.25,0.9469,0.73997,1.06108,0.74328,0.67389,0.71244,0.50617,1.08196,0.95543,1.13574,0.000340375,0.000340375,0.000340375
48,4578.78,0.94767,0.73552,1.0623,0.73709,0.68895,0.71429,0.50539,1.091,0.97009,1.14522,0.000334188,0.000334188,0.000334188
49,4676.28,0.94605,0.73417,1.05495,0.74977,0.66616,0.72515,0.51218,1.08154,0.95966,1.13933,0.000328,0.000328,0.000328
50,4775.69,0.93528,0.71737,1.05596,0.69698,0.67024,0.70443,0.50635,1.08098,0.95622,1.13109,0.000321812,0.000321812,0.000321812
51,4875.32,0.92722,0.71082,1.05114,0.74571,0.63957,0.72118,0.5158,1.0801,0.96096,1.12999,0.000315625,0.000315625,0.000315625
52,4974.65,0.93251,0.71351,1.05186,0.7385,0.68334,0.72577,0.52033,1.07913,0.95599,1.13848,0.000309437,0.000309437,0.000309437
53,5075.84,0.92173,0.69922,1.04816,0.74398,0.67084,0.70358,0.50717,1.08112,0.96337,1.13668,0.00030325,0.00030325,0.00030325
54,5174.24,0.91377,0.68495,1.04187,0.72446,0.69849,0.72181,0.51988,1.08317,0.95745,1.1394,0.000297063,0.000297063,0.000297063
55,5273.04,0.9193,0.68571,1.04652,0.74024,0.64083,0.71538,0.52037,1.07611,0.94289,1.13433,0.000290875,0.000290875,0.000290875
56,5372.92,0.91466,0.68925,1.04492,0.68458,0.68485,0.71772,0.5046,1.0844,0.93398,1.14176,0.000284688,0.000284688,0.000284688
